0 0 1000 1000		0 0 0 
0 80 1000 90		10 250 10
0 0 1000 10		10 250 10
0 920 1000 120		10 250 10

50 90 60 910		255 165 0
950 90 960 910		255 165 0

0 900 1000 910		10 250 10
0 990 1000 1000 	10 250 10

10 930 20 990		200 255 200
10 930 50 940		200 255 200
10 980 50 990		200 255 200

70 930 120 990		255 0 0
80 940 110 980		0 0 0 

140 930 160 990		25 100 200
160 970 200 990		25 100 200
200 930 220 990		25 100 200

240 930 250 990		200 0 200
250 940 260 950		200 0 200
260 950 270 960		200 0 200
270 960 280 970		2 0 200
280 970 290 980		2 0 200
290 930 300 990		2 0 200

320 930 370 940 		20 200 20
340 940 350 990 		20 200 20

730 930 740 990 		0 0 255
740 970 770 990 		0 0 255

780 930 790 940 		100 0 255
780 950 790 990 		100 0 255

810 930 820 950 		150 20 25
820 950 830 970 		150 20 25
830 970 840 990 		150 20 25
840 950 850 970 		150 20 25
850 930 860 950 		150 20 25

880 930 920 990 		150 20 25
890 940 920 960 		0 0 0 
890 970 920 980  		0 0 0 

940 930 980 990 		150 20 25
950 940 980 950 		0 0 0 
940 960 970 970 		0 0 0 

350 20 390 30 		150 20 25 
350 20 360 80 		150 20 25 
350 70 390 80  		150 20 25
380 50 390 70  		150 20 25
370 50 380 60 		150 20 25

410 20 420 80 		150 20 25 
410 20 460 30  		150 20 25
450 30 460 80  		150 20 25
420 40 450 50 		150 20 25 

480 20 490 80 		150 20 25 
480 70 520 80  		150 20 25

540 20 550 80 		150 20 25 
540 20 590 30  		150 20 25
580 20 590 80  		150 20 25
550 40 580 50  		150 20 25

610 20 620 80 		150 20 25 
610 20 650 30  		150 20 25
610 70 650 80  		150 20 25
640 50 650 80  		150 20 25
630 50 640 60  		150 20 25

670 20 680 80 		150 20 25 
670 20 720 30  		150 20 25
710 20 720 80  		150 20 25
680 40 710 50  		150 20 25

